population,Season,MMWR Startdate,MMWR Week,Age Group,Count of Hospitalizations,Pathogen,geo
3065147,2020-2021,1/3/2021,202101,0-4,0,Influenza,7-co
3065147,2020-2021,1/3/2021,202101,5-17,0,Influenza,7-co
3065147,2020-2021,1/3/2021,202101,18-49,1,Influenza,7-co
3065147,2020-2021,1/3/2021,202101,50-64,0,Influenza,7-co
3065147,2020-2021,1/3/2021,202101,65+,0,Influenza,7-co
3065147,2020-2021,1/10/2021,202102,0-4,0,Influenza,7-co
3065147,2020-2021,1/10/2021,202102,5-17,0,Influenza,7-co
3065147,2020-2021,1/10/2021,202102,18-49,0,Influenza,7-co
3065147,2020-2021,1/10/2021,202102,50-64,0,Influenza,7-co
3065147,2020-2021,1/10/2021,202102,65+,1,Influenza,7-co
3065147,2020-2021,1/17/2021,202103,0-4,0,Influenza,7-co
3065147,2020-2021,1/17/2021,202103,5-17,0,Influenza,7-co
3065147,2020-2021,1/17/2021,202103,18-49,0,Influenza,7-co
3065147,2020-2021,1/17/2021,202103,50-64,0,Influenza,7-co
3065147,2020-2021,1/17/2021,202103,65+,0,Influenza,7-co
3065147,2020-2021,1/24/2021,202104,0-4,0,Influenza,7-co
3065147,2020-2021,1/24/2021,202104,5-17,0,Influenza,7-co
3065147,2020-2021,1/24/2021,202104,18-49,2,Influenza,7-co
3065147,2020-2021,1/24/2021,202104,50-64,1,Influenza,7-co
3065147,2020-2021,1/24/2021,202104,65+,1,Influenza,7-co
3065147,2020-2021,1/31/2021,202105,0-4,0,Influenza,7-co
3065147,2020-2021,1/31/2021,202105,5-17,0,Influenza,7-co
3065147,2020-2021,1/31/2021,202105,18-49,0,Influenza,7-co
3065147,2020-2021,1/31/2021,202105,50-64,0,Influenza,7-co
3065147,2020-2021,1/31/2021,202105,65+,1,Influenza,7-co
3065147,2020-2021,2/7/2021,202106,0-4,0,Influenza,7-co
3065147,2020-2021,2/7/2021,202106,5-17,0,Influenza,7-co
3065147,2020-2021,2/7/2021,202106,18-49,0,Influenza,7-co
3065147,2020-2021,2/7/2021,202106,50-64,0,Influenza,7-co
3065147,2020-2021,2/7/2021,202106,65+,1,Influenza,7-co
3065147,2020-2021,2/14/2021,202107,0-4,0,Influenza,7-co
3065147,2020-2021,2/14/2021,202107,5-17,0,Influenza,7-co
3065147,2020-2021,2/14/2021,202107,18-49,0,Influenza,7-co
3065147,2020-2021,2/14/2021,202107,50-64,0,Influenza,7-co
3065147,2020-2021,2/14/2021,202107,65+,0,Influenza,7-co
3065147,2020-2021,2/21/2021,202108,0-4,0,Influenza,7-co
3065147,2020-2021,2/21/2021,202108,5-17,1,Influenza,7-co
3065147,2020-2021,2/21/2021,202108,18-49,0,Influenza,7-co
3065147,2020-2021,2/21/2021,202108,50-64,0,Influenza,7-co
